Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2024-11-01","France","FRA","250","Europe","150","Western Europe","155","32041981","Food Colouring Yellow 3 (Sunset Yellow)","Kgs","2300.0","0.08","0.01"
"2015-10-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","54026200","Othr Yarn Of Polystrs,Multpl Or Cabld","Kgs","0.24","0.72","0.0"
"2024-10-01","Germany","DEU","276","Europe","150","Western Europe","155","32041935","Azoic Diazo Compnt 5 (Fst Red B Base)","Kgs","1000.0","0.05","0.01"
"2021-04-01","France","FRA","250","Europe","150","Western Europe","155","62044919","Othr Dresses Of Othr Txtl Materials","Nos","1.18","8.86","0.01"
"2020-12-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","39269029","Othr Couplers,Packing Ring, O Rings And Like","Kgs","8.26","20.34","0.03"
"2021-10-01","Belgium","BEL","056","Europe","150","Western Europe","155","29241900","Other Acyclic Amides And Their Derivtvs, Salts","Kgs","394.52","1086.05","1.45"
"2016-10-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","91059990","Others","Nos","1.1","6.48","0.01"
"2016-03-01","Belgium","BEL","56","Europe","150","Western Europe","155","38089191","Repelant For Insects Such As Flies,Mosquto","Kgs","20.8","114.21","0.17"
"2018-01-01","Serbia","SRB","688","Europe","150","Southern Europe","39","87019100","Other Tractors, Of An Engine Powernot Exceeding 18 Kw","Nos","0.0","15.51","0.02"
"2019-09-01","Poland","POL","616","Europe","150","Eastern Europe","151","55159130","Othr Wvn Fbrc Syn Fibrs Mxd Wth Man -Made Filmnt, Dyed","Sqm","0.65","1.11","0.0"
"2019-10-01","Denmark","DNK","208","Europe","150","Northern Europe","154","30043110","Insulin Injection","Kgs","","0.01",""
"2018-09-01","Norway","NOR","578","Europe","150","Northern Europe","154","44170000","Tools,Tool Bodies,Tool Handles Broom Or Brush Bodies And Handles, Or Wood Boot Or Shoe Lasts And Trees,Of Wood","Kgs","0.9","14.14","0.02"
"2025-02-01","Ireland","IRL","372","Europe","150","Northern Europe","154","87081010","Bumpers Etc For Tractors","Kgs","13083.0","0.89","0.1"
"2019-06-01","Greece","GRC","300","Europe","150","Southern Europe","39","62041100","Suits Of Wool Or Fine Animal Hair","Nos","0.0","0.02",""
"2021-07-01","France","FRA","250","Europe","150","Western Europe","155","82055990","Othr Hnd Tool Incl Glaziers Diamonds Nes","Kgs","31.91","53.96","0.07"
"2020-09-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","40115090","Other","Nos","6.63","7.91","0.01"
"2015-05-01","Germany","DEU","276","Europe","150","Western Europe","155","93070000","Swords,Cutlasses,Bayonets,Lances And Smlr Arms And Prts Throf And Scabbards And Sheaths","Nos","2.31","32.06","0.05"
"2017-02-01","Sweden","SWE","752","Europe","150","Northern Europe","154","82077090","Othr Tools For Milling","Kgs","0.02","1.64","0.0"
"2015-12-01","Portugal","PRT","620","Europe","150","Southern Europe","39","84071000","Air-Craft Engines","Nos","0.0","18881.25","28.35"
"2015-10-01","France","FRA","250","Europe","150","Western Europe","155","84822012","Tapered Roller Bearings(Radial Type) >50 Mm Or 2 Inches Bore Diameter But <=100 Mm Or 4 Inches Bore Diameter","Nos","0.51","8.12","0.01"
"2021-02-01","Belgium","BEL","056","Europe","150","Western Europe","155","72202022","Strips For Pipes And Tubes(Other Than Skelp) Nickel Chromium Austenitic Type","Kgs","353.0","1055.23","1.45"
"2025-06-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","62114299","Cotn Grmnts Othr Thn Kurta And Salwar Wth/Without Duppatta - Other","Nos","190273.0","9.96","1.16"
"2021-03-01","Croatia","HRV","191","Europe","150","Southern Europe","39","84133020","Oil Pump","Nos","0.1","0.48","0.0"
"2021-06-01","Italy","ITA","380","Europe","150","Southern Europe","39","64035930","Othr Ftwr Wth Outr Sole Of Lthr For Chldrn","Prs","3.01","37.93","0.05"
"2025-06-01","Belgium","BEL","56","Europe","150","Western Europe","155","40091100","Tubes,Pipes And Hoses Of Vulcnsd Rubr Not Reinforced/Othrwse Combined Wth Othr Materials Without Fittings","Kgs","722.0","0.17","0.02"
"2017-02-01","Germany","DEU","276","Europe","150","Western Europe","155","84589951","Centre Lathes, Tool-Room Type","Nos","0.02","118.58","0.18"
"2021-10-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","90229090","Others","Kgs","13.43","236.39","0.32"
"2019-06-01","Poland","POL","616","Europe","150","Eastern Europe","151","52051110","Grey","Kgs","13.1","16.57","0.02"
"2021-05-01","Ireland","IRL","372","Europe","150","Northern Europe","154","9042211","Chilly Powder","Kgs","1.8","7.53","0.01"
"2018-12-01","France","FRA","250","Europe","150","Western Europe","155","39173100","Flexible Tubes Pipes And Hoses Having A Minimum Burst Pressure Of 27.6 Mpa","Kgs","0.01","0.06",""
"2015-12-01","Belgium","BEL","56","Europe","150","Western Europe","155","72107000","Prdcts Paintd,Vrnshd/Coatd Wth Plstcs","Kgs","148.0","49.64","0.07"
"2015-06-01","Romania","ROU","642","Europe","150","Eastern Europe","151","72222011","Bright Bars-Chromium Type","Kgs","2.0","1.62","0.0"
"2015-04-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","94042990","Othr Mattresses Of Othr Material","Nos","1.48","15.0","0.02"
"2019-12-01","Finland","FIN","246","Europe","150","Northern Europe","154","63049281","Cushion Covers Of Handloom","Nos","0.04","0.35","0.0"
"2020-07-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","63049250","Terry Towel Of Cotn, Ntkntd/Crchtd","Nos","384.75","157.06","0.21"
"2021-05-01","Switzerland","CHE","756","Europe","150","Western Europe","155","29335920","Trimethoprim","Kgs","12.6","505.03","0.69"
"2015-01-01","France","FRA","250","Europe","150","Western Europe","155","14049040","Betel Leaves","Kgs","0.27","0.17","0.0"
"2016-08-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","90308990","Others","Nos","0.01","5.38","0.01"
"2024-07-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","83099090","Other Packing Accessories N.E.S.","Kgs","44835.0","1.19","0.14"
"2025-06-01","Norway","NOR","578","Europe","150","Northern Europe","154","62052090","Of Cotton: Other","Nos","6988.0","0.56","0.07"
"2021-08-01","Ireland","IRL","372","Europe","150","Northern Europe","154","72223012","Bright Bars-Nckl Chromium Austenitic Type","Kgs","11.21","24.35","0.03"
"2025-04-01","France","FRA","250","Europe","150","Western Europe","155","29122990","Other Cyclc Aldhyds Without Othr Oxygen Fn","Kgs","10840.0","1.37","0.16"
"2017-02-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","42023190","Others","Nos","5.08","3.71","0.01"
"2020-09-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","61061000","Blouse Etc Of Cotton","Nos","207.3","707.91","0.96"
